,lon,lat,month,observation
216,36.5,89.5,1,-1.69
217,37.5,89.5,1,-1.69
218,38.5,89.5,1,-1.687
219,39.5,89.5,1,-1.687
220,40.5,89.5,1,-1.687
221,41.5,89.5,1,-1.69
222,42.5,89.5,1,-1.687
223,43.5,89.5,1,-1.69
224,44.5,89.5,1,-1.69
225,45.5,89.5,1,-1.69
226,46.5,89.5,1,-1.69
227,47.5,89.5,1,-1.69
228,48.5,89.5,1,-1.69
229,49.5,89.5,1,-1.69
230,50.5,89.5,1,-1.69
231,51.5,89.5,1,-1.69
232,52.5,89.5,1,-1.69
233,53.5,89.5,1,-1.687
234,54.5,89.5,1,-1.687
235,55.5,89.5,1,-1.682
236,56.5,89.5,1,-1.682
237,57.5,89.5,1,-1.682
238,58.5,89.5,1,-1.682
239,59.5,89.5,1,-1.682
240,60.5,89.5,1,-1.687
241,61.5,89.5,1,-1.687
242,62.5,89.5,1,-1.687
243,63.5,89.5,1,-1.687
244,64.5,89.5,1,-1.687
245,65.5,89.5,1,-1.687
246,66.5,89.5,1,-1.687
247,67.5,89.5,1,-1.687
248,68.5,89.5,1,-1.687
249,69.5,89.5,1,-1.687
250,70.5,89.5,1,-1.687
251,71.5,89.5,1,-1.687
252,72.5,89.5,1,-1.6850001
253,73.5,89.5,1,-1.6800001
254,74.5,89.5,1,-1.6800001
255,75.5,89.5,1,-1.6800001
256,76.5,89.5,1,-1.6800001
257,77.5,89.5,1,-1.6800001
258,78.5,89.5,1,-1.6800001
259,79.5,89.5,1,-1.6800001
260,80.5,89.5,1,-1.6800001
261,81.5,89.5,1,-1.6800001
262,82.5,89.5,1,-1.6800001
263,83.5,89.5,1,-1.6800001
264,84.5,89.5,1,-1.6800001
265,85.5,89.5,1,-1.6800001
266,86.5,89.5,1,-1.6800001
267,87.5,89.5,1,-1.6800001
268,88.5,89.5,1,-1.6800001
269,89.5,89.5,1,-1.6800001
270,90.5,89.5,1,-1.6800001
271,91.5,89.5,1,-1.6800001
272,92.5,89.5,1,-1.6800001
273,93.5,89.5,1,-1.6800001
274,94.5,89.5,1,-1.6800001
275,95.5,89.5,1,-1.6800001
276,96.5,89.5,1,-1.6800001
277,97.5,89.5,1,-1.6800001
278,98.5,89.5,1,-1.6800001
279,99.5,89.5,1,-1.6800001
280,100.5,89.5,1,-1.687
281,101.5,89.5,1,-1.687
282,102.5,89.5,1,-1.682
283,103.5,89.5,1,-1.6850001
284,104.5,89.5,1,-1.6850001
285,105.5,89.5,1,-1.6800001
286,106.5,89.5,1,-1.682
287,107.5,89.5,1,-1.6800001
288,108.5,89.5,1,-1.6800001
289,109.5,89.5,1,-1.6800001
290,110.5,89.5,1,-1.6800001
291,111.5,89.5,1,-1.6800001
292,112.5,89.5,1,-1.6800001
293,113.5,89.5,1,-1.6800001
294,114.5,89.5,1,-1.6800001
295,115.5,89.5,1,-1.6800001
296,116.5,89.5,1,-1.6800001
297,117.5,89.5,1,-1.6800001
298,118.5,89.5,1,-1.6800001
299,119.5,89.5,1,-1.6800001
300,120.5,89.5,1,-1.677
301,121.5,89.5,1,-1.677
302,122.5,89.5,1,-1.677
303,123.5,89.5,1,-1.677
304,124.5,89.5,1,-1.677
305,125.5,89.5,1,-1.687
306,126.5,89.5,1,-1.7120001
307,127.5,89.5,1,-1.7500001
308,128.5,89.5,1,-1.7700001
309,129.5,89.5,1,-1.7700001
310,130.5,89.5,1,-1.7700001
311,131.5,89.5,1,-1.7570001
312,132.5,89.5,1,-1.7420001
313,133.5,89.5,1,-1.7300001
314,134.5,89.5,1,-1.7120001
315,135.5,89.5,1,-1.692
316,136.5,89.5,1,-1.6800001
317,137.5,89.5,1,-1.677
318,138.5,89.5,1,-1.677
319,139.5,89.5,1,-1.6800001
320,140.5,89.5,1,-1.6800001
321,141.5,89.5,1,-1.6800001
322,142.5,89.5,1,-1.6800001
323,143.5,89.5,1,-1.6800001
324,144.5,89.5,1,-1.6800001
325,145.5,89.5,1,-1.6800001
326,146.5,89.5,1,-1.6800001
327,147.5,89.5,1,-1.6800001
328,148.5,89.5,1,-1.6800001
329,149.5,89.5,1,-1.6800001
330,150.5,89.5,1,-1.6800001
331,151.5,89.5,1,-1.6800001
332,152.5,89.5,1,-1.6800001
333,153.5,89.5,1,-1.6800001
334,154.5,89.5,1,-1.6800001
335,155.5,89.5,1,-1.6800001
336,156.5,89.5,1,-1.6800001
337,157.5,89.5,1,-1.6800001
338,158.5,89.5,1,-1.6800001
339,159.5,89.5,1,-1.6800001
340,160.5,89.5,1,-1.687
341,161.5,89.5,1,-1.687
342,162.5,89.5,1,-1.687
343,163.5,89.5,1,-1.687
344,164.5,89.5,1,-1.687
345,165.5,89.5,1,-1.6850001
346,166.5,89.5,1,-1.6850001
347,167.5,89.5,1,-1.6850001
348,168.5,89.5,1,-1.6850001
349,169.5,89.5,1,-1.6850001
350,170.5,89.5,1,-1.6850001
351,171.5,89.5,1,-1.6850001
352,172.5,89.5,1,-1.6850001
353,173.5,89.5,1,-1.687
354,174.5,89.5,1,-1.687
355,175.5,89.5,1,-1.687
356,176.5,89.5,1,-1.687
357,177.5,89.5,1,-1.687
358,178.5,89.5,1,-1.687
359,179.5,89.5,1,-1.687
360,-179.5,88.5,1,-1.6700001
361,-178.5,88.5,1,-1.6700001
362,-177.5,88.5,1,-1.6700001
363,-176.5,88.5,1,-1.6700001
364,-175.5,88.5,1,-1.6750001
365,-174.5,88.5,1,-1.677
366,-173.5,88.5,1,-1.677
367,-172.5,88.5,1,-1.677
368,-171.5,88.5,1,-1.677
369,-170.5,88.5,1,-1.672
370,-169.5,88.5,1,-1.672
371,-168.5,88.5,1,-1.672
372,-167.5,88.5,1,-1.6700001
373,-166.5,88.5,1,-1.6700001
374,-165.5,88.5,1,-1.6700001
375,-164.5,88.5,1,-1.6700001
376,-163.5,88.5,1,-1.667
377,-162.5,88.5,1,-1.6700001
378,-161.5,88.5,1,-1.6700001
379,-160.5,88.5,1,-1.672
380,-159.5,88.5,1,-1.6700001
381,-158.5,88.5,1,-1.6700001
382,-157.5,88.5,1,-1.6700001
383,-156.5,88.5,1,-1.672
384,-155.5,88.5,1,-1.6700001
385,-154.5,88.5,1,-1.6700001
386,-153.5,88.5,1,-1.6700001
387,-152.5,88.5,1,-1.6700001
388,-151.5,88.5,1,-1.667
389,-150.5,88.5,1,-1.6650001
390,-149.5,88.5,1,-1.6600001
391,-148.5,88.5,1,-1.6600001
392,-147.5,88.5,1,-1.6620001
393,-146.5,88.5,1,-1.6600001
394,-145.5,88.5,1,-1.6600001
395,-144.5,88.5,1,-1.6600001
396,-143.5,88.5,1,-1.6600001
397,-142.5,88.5,1,-1.6700001
398,-141.5,88.5,1,-1.667
399,-140.5,88.5,1,-1.6650001
400,-139.5,88.5,1,-1.6620001
401,-138.5,88.5,1,-1.6620001
402,-137.5,88.5,1,-1.667
403,-136.5,88.5,1,-1.6620001
404,-135.5,88.5,1,-1.6620001
405,-134.5,88.5,1,-1.6620001
406,-133.5,88.5,1,-1.6620001
407,-132.5,88.5,1,-1.6600001
408,-131.5,88.5,1,-1.6600001
409,-130.5,88.5,1,-1.6600001
410,-129.5,88.5,1,-1.6620001
411,-128.5,88.5,1,-1.6600001
412,-127.5,88.5,1,-1.6620001
413,-126.5,88.5,1,-1.6600001
414,-125.5,88.5,1,-1.6600001
415,-124.5,88.5,1,-1.6600001
416,-123.5,88.5,1,-1.6600001
417,-122.5,88.5,1,-1.6600001
418,-121.5,88.5,1,-1.6600001
419,-120.5,88.5,1,-1.6600001
420,-119.5,88.5,1,-1.6600001
421,-118.5,88.5,1,-1.667
422,-117.5,88.5,1,-1.6700001
423,-116.5,88.5,1,-1.6700001
424,-115.5,88.5,1,-1.6700001
425,-114.5,88.5,1,-1.6700001
426,-113.5,88.5,1,-1.6700001
427,-112.5,88.5,1,-1.6700001
428,-111.5,88.5,1,-1.6700001
429,-110.5,88.5,1,-1.6700001
430,-109.5,88.5,1,-1.6700001
431,-108.5,88.5,1,-1.6700001
432,-107.5,88.5,1,-1.6700001
433,-106.5,88.5,1,-1.6700001
434,-105.5,88.5,1,-1.6700001
435,-104.5,88.5,1,-1.6700001
436,-103.5,88.5,1,-1.6700001
437,-102.5,88.5,1,-1.6700001
438,-101.5,88.5,1,-1.6700001
439,-100.5,88.5,1,-1.6700001
440,-99.5,88.5,1,-1.672
441,-98.5,88.5,1,-1.672
442,-97.5,88.5,1,-1.672
443,-96.5,88.5,1,-1.6800001
444,-95.5,88.5,1,-1.6800001
445,-94.5,88.5,1,-1.6800001
446,-93.5,88.5,1,-1.6800001
447,-92.5,88.5,1,-1.6800001
448,-91.5,88.5,1,-1.672
449,-90.5,88.5,1,-1.6700001
450,-89.5,88.5,1,-1.6700001
451,-88.5,88.5,1,-1.6700001
452,-87.5,88.5,1,-1.6700001
453,-86.5,88.5,1,-1.6700001
454,-85.5,88.5,1,-1.6700001
455,-84.5,88.5,1,-1.667
456,-83.5,88.5,1,-1.6650001
457,-82.5,88.5,1,-1.6700001
458,-81.5,88.5,1,-1.6700001
459,-80.5,88.5,1,-1.6700001
460,-79.5,88.5,1,-1.677
461,-78.5,88.5,1,-1.6800001
462,-77.5,88.5,1,-1.6850001
463,-76.5,88.5,1,-1.6850001
464,-75.5,88.5,1,-1.687
465,-74.5,88.5,1,-1.687
466,-73.5,88.5,1,-1.6800001
467,-72.5,88.5,1,-1.6800001
468,-71.5,88.5,1,-1.6800001
469,-70.5,88.5,1,-1.677
470,-69.5,88.5,1,-1.677
471,-68.5,88.5,1,-1.677
472,-67.5,88.5,1,-1.6700001
473,-66.5,88.5,1,-1.6800001
474,-65.5,88.5,1,-1.6800001
475,-64.5,88.5,1,-1.6800001
476,-63.5,88.5,1,-1.677
477,-62.5,88.5,1,-1.6800001
478,-61.5,88.5,1,-1.6800001
479,-60.5,88.5,1,-1.6800001
480,-59.5,88.5,1,-1.677
481,-58.5,88.5,1,-1.682
482,-57.5,88.5,1,-1.6800001
483,-56.5,88.5,1,-1.687
484,-55.5,88.5,1,-1.697
485,-54.5,88.5,1,-1.7120001
486,-53.5,88.5,1,-1.725
487,-52.5,88.5,1,-1.7320001
488,-51.5,88.5,1,-1.7320001
489,-50.5,88.5,1,-1.7320001
490,-49.5,88.5,1,-1.7320001
491,-48.5,88.5,1,-1.7270001
492,-47.5,88.5,1,-1.725
493,-46.5,88.5,1,-1.72
494,-45.5,88.5,1,-1.715
495,-44.5,88.5,1,-1.7120001
496,-43.5,88.5,1,-1.705
497,-42.5,88.5,1,-1.7
498,-41.5,88.5,1,-1.695
499,-40.5,88.5,1,-1.695
500,-39.5,88.5,1,-1.695
501,-38.5,88.5,1,-1.695
502,-37.5,88.5,1,-1.695
503,-36.5,88.5,1,-1.695
504,-35.5,88.5,1,-1.692
505,-34.5,88.5,1,-1.692
506,-33.5,88.5,1,-1.687
507,-32.5,88.5,1,-1.6850001
508,-31.5,88.5,1,-1.6850001
509,-30.5,88.5,1,-1.6850001
510,-29.5,88.5,1,-1.6850001
511,-28.5,88.5,1,-1.6850001
512,-27.5,88.5,1,-1.6850001
513,-26.5,88.5,1,-1.6850001
514,-25.5,88.5,1,-1.6850001
515,-24.5,88.5,1,-1.6850001
516,-23.5,88.5,1,-1.69
517,-22.5,88.5,1,-1.6850001
518,-21.5,88.5,1,-1.687
519,-20.5,88.5,1,-1.687
520,-19.5,88.5,1,-1.69
521,-18.5,88.5,1,-1.69
522,-17.5,88.5,1,-1.69
523,-16.5,88.5,1,-1.692
524,-15.5,88.5,1,-1.69
525,-14.5,88.5,1,-1.692
526,-13.5,88.5,1,-1.69
527,-12.5,88.5,1,-1.692
528,-11.5,88.5,1,-1.692
529,-10.5,88.5,1,-1.69
530,-9.5,88.5,1,-1.687
531,-8.5,88.5,1,-1.6850001
532,-7.5,88.5,1,-1.6850001
533,-6.5,88.5,1,-1.687
534,-5.5,88.5,1,-1.692
535,-4.5,88.5,1,-1.692
536,-3.5,88.5,1,-1.69
537,-2.5,88.5,1,-1.695
538,-1.5,88.5,1,-1.695
539,-0.5,88.5,1,-1.697
540,0.5,88.5,1,-1.697
